relative_path,format,bytes,sha256,records_or_items,variables,structural_note
data/figure_source_data/02a32220c192_by_seed.csv,csv,13933,02a32220c1920e9c74e4084be5f19026b3bd3a0484af8802d8fa7fc5b5e08efe,60,study;run_id;seed;role;S_rel_l2;S_RMSE_front_band;conditional_chamfer_m;p_tilde_rel_l2;p_phys_RMSE_MPa;local_FV_CO2_RMSE;CO2_mass_rel_error_mean;wall_time_hours;oscillation_std_log10_tail;max_gpu_max_alloc_gb;trainable_params,UTF-8 comma-separated table
data/figure_source_data/0577272f5dac_snapshot_metadata.json,json,772,c69009c890c85c6057677fb2518e13f2ccd27305ea701a2ceb39eefc40715d33,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/0ee49018e840_final.npz,npz,9953840,0ee49018e840e465603571a1ec78a42c28428baf2185921fd1bd9a4e24e868c3,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/0ee49018e840_snapshot_grid.npz,npz,9953840,0ee49018e840e465603571a1ec78a42c28428baf2185921fd1bd9a4e24e868c3,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,csv,107792,1b0a223fc3a175af0293c118659ab22154accee2473b59ac1806cdb894cc9a36,288,run_id;exp_name;training_strategy;leave_out;seed;ray_id;ray_angle_deg;n_time_ray_total;n_time_ray_valid;W_front_ratio_1090_mean;W_front_ratio_1090_std;W_front_abs_rel_error_1090_mean;W_front_abs_rel_error_1090_std;front_inverse_slope_width_ratio_mean;front_inverse_slope_width_ratio_std;front_sharpness_ratio_mean;front_sharpness_ratio_std;front_position_signed_error_mid_mean;front_position_signed_error_mid_std;front_position_abs_error_mid_mean;front_position_abs_error_mid_std;front_position_rel_error_mid_mean;front_position_rel_error_mid_std;front_position_abs_error_maxgrad_mean;front_position_abs_error_maxgrad_std,UTF-8 comma-separated table
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,npz,10214975,1e26aa04d39a21f0562398237d482f5c546253832d36c873e01f5725e2fe08ad,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,csv,12831750,b72b11f52e1a9bdb8672befe5b43abe2b34dc3b2484b8fcd84d0a40f959313d1,5792,run_id;exp_name;training_strategy;leave_out;seed;ckpt_path;time_index;snapshot_label;time_s;time_days;n_used;p_tilde_mse;p_tilde_rmse;p_tilde_mae;p_tilde_rel_l2;p_tilde_maxae;p_tilde_bias;p_tilde_p95ae;p_tilde_p99ae;p_tilde_nrmse_range;p_tilde_nrmse_iqr;p_tilde_r2;p_tilde_corr;p_phys_Pa_mse;p_phys_Pa_rmse;p_phys_Pa_mae;p_phys_Pa_rel_l2;p_phys_Pa_maxae;p_phys_Pa_bias;p_phys_Pa_p95ae;p_phys_Pa_p99ae;p_phys_Pa_nrmse_range;p_phys_Pa_nrmse_iqr;p_phys_Pa_r2;p_phys_Pa_corr;p_phys_RMSE_MPa;p_phys_MAE_MPa;S_mse;S_rmse;S_mae;S_rel_l2;S_maxae;S_bias;S_p95ae;S_p99ae;S_nrmse_range;S_nrmse_iqr;S_r2;S_corr;S_RMSE_front_band;S_MAE_front_band;S_Bias_front_band;dS_RMSE_front_band;dS_MAE_front_band;dS_Bias_front_band;n_front_band;S_RMSE_plume_rawS005;S_MAE_plume_rawS005;S_Bias_plume_rawS005;dS_RMSE_plume_rawS005;dS_MAE_plume_rawS005;dS_Bias_plume_rawS005;n_plume_rawS005;S_RMSE_background_rawS002;S_MAE_background_rawS002;S_Bias_background_rawS002;dS_RMSE_background_rawS002;dS_MAE_background_rawS002;dS_Bias_background_rawS002;n_background_rawS002;S_RMSE_core;S_MAE_core;S_Bias_core;dS_RMSE_core;dS_MAE_core;dS_Bias_core;n_core;S_RMSE_near_sic;S_MAE_near_sic;S_Bias_near_sic;dS_RMSE_near_sic;dS_MAE_near_sic;dS_Bias_near_sic;n_near_sic;S_RMSE_mobile_co2_training_raw;S_MAE_mobile_co2_training_raw;S_Bias_mobile_co2_training_raw;dS_RMSE_mobile_co2_training_raw;dS_MAE_mobile_co2_training_raw;dS_Bias_mobile_co2_training_raw;n_mobile_co2_training_raw;S_RMSE_mobile_co2_raw;S_MAE_mobile_co2_raw;S_Bias_mobile_co2_raw;dS_RMSE_mobile_co2_raw;dS_MAE_mobile_co2_raw;dS_Bias_mobile_co2_raw;n_mobile_co2_raw;S_RMSE_excess_plume_dS005;S_MAE_excess_plume_dS005;S_Bias_excess_plume_dS005;dS_RMSE_excess_plume_dS005;dS_MAE_excess_plume_dS005;dS_Bias_excess_plume_dS005;n_excess_plume_dS005;S_RMSE_excess_mobile_dS002;S_MAE_excess_mobile_dS002;S_Bias_excess_mobile_dS002;dS_RMSE_excess_mobile_dS002;dS_MAE_excess_mobile_dS002;dS_Bias_excess_mobile_dS002;n_excess_mobile_dS002;S_RMSE_excess_background_dS001;S_MAE_excess_background_dS001;S_Bias_excess_background_dS001;dS_RMSE_excess_background_dS001;dS_MAE_excess_background_dS001;dS_Bias_excess_background_dS001;n_excess_background_dS001;S_RMSE_excess_leading_band_dS005;S_MAE_excess_leading_band_dS005;S_Bias_excess_leading_band_dS005;dS_RMSE_excess_leading_band_dS005;dS_MAE_excess_leading_band_dS005;dS_Bias_excess_leading_band_dS005;n_excess_leading_band_dS005;IC_S_RMSE_vs_S_IC_CO2;IC_S_Bias_vs_S_IC_CO2;plot_label;plot_group,UTF-8 comma-separated table
data/figure_source_data/32e314f5d40a_by_seed.csv,csv,20949,32e314f5d40a5251ad13bb73e541b41b0cf38c49a2ea58aef0df46228440eea4,96,case;role;grid;mapping;seed;error;raw_reference_error;unclipped_error;initial_error;reference_peak_kg_per_m;raw_eos_reference_difference;max_clipped_fraction;min_pressure_pa;max_pressure_pa;effective_area_m2,UTF-8 comma-separated table
data/figure_source_data/40cd0b2f65da_snapshot_metadata.json,json,772,b9cc9c05013407ba0f4b534ea35cc4c5765263f5bb3b199e692b145fdc97b355,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/42ecb985478c_snapshot_metadata.json,json,772,9f704156672d1ddeec6e76b68e13c814a89270133848669e55fc92b9ae09eaea,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
